Time/s,Azimuth/deg,Zenith/deg
562001,75.076,53.816
564001,147.45,66.549
566001,211.17,75.866
568001,264.17,85.2298
570001,308.71,91.8693
572001,353.91,88.7966
574001,51.287,78.399
576001,116.43,66.629
578001,183.95,50.634
580001,266.17,37.848
582001,348.78,49.826
584001,56.026,65.91
586001,121.14,77.926
588001,179.11,88.772
590001,224.63,92.1383
592001,269.21,85.3725
594001,321.76,76.068
596001,24.758,66.886
598001,96.982,54.347
600001,182.16,42.274
602001,267.43,47.999
604001,330.86,62.723
606001,30.689,75.788
608001,89.054,89.71774
610001,137.62,96.2769
612001,185.15,86.4533
614001,238.39,73.917
616001,295.82,63.719
618001,4.8395,52.606
620001,92.152,46.15
622001,179.75,51.965
624001,248.76,63.034
626001,306.23,73.457
628001,359.85,86.3215
630001,47.676,96.4374
632001,96.195,89.948512
634001,154.18,76.068
636001,213.56,63.124
638001,276.73,48.55
640001,1.8723,42.589
642001,87.577,54.034
644001,160.16,66.252
646001,223.07,75.396
648001,275.62,84.9789
650001,320.4,92.3086
652001,6.0087,89.28189
654001,63.961,78.397
656001,128.72,66.24
658001,195.32,50.022
660001,277.45,37.885
662001,0.20129,50.461
664001,68.366,66.275
666001,133.81,77.888
668001,191.16,88.2693
670001,236.29,91.7335
672001,280.68,85.6633
674001,333.71,76.539
676001,37.479,67.147
678001,109.44,54.084
680001,194.14,41.405
682001,278.81,47.839
684001,342.2,63.066
686001,42.85,76.248
688001,101.62,89.928447
690001,149.89,95.773
692001,196.98,86.0089
694001,249.71,73.965
696001,307.61,64.144
698001,17.542,53.175
700001,104.76,46.037
702001,192.33,51.318
704001,260.33,62.697
706001,317.59,73.55
708001,11.838,86.833
710001,60.042,96.8119
712001,108.72,89.60203
714001,166.16,75.605
716001,224.81,62.901
718001,288.34,48.892
720001,14.056,43.42
722001,100.18,54.125
724001,172.8,65.881
726001,234.83,74.938
728001,287.08,84.8353
730001,332.16,92.8299
732001,18.217,89.69804
734001,76.631,78.299
736001,140.87,65.798
738001,206.58,49.466
740001,288.76,38.123
742001,11.767,51.114
744001,80.83,66.566
746001,146.45,77.755
748001,203.09,87.7287
750001,247.9,91.4343
752001,292.19,86.0465
754001,345.81,76.992
756001,50.226,67.317
758001,121.77,53.709
760001,205.98,40.553
762001,290.06,47.824
764001,353.65,63.475
766001,55.141,76.684
768001,114.18,90.030017
770001,162.08,95.2011
772001,208.72,85.6383
774001,261.04,74.112
776001,319.56,64.609
778001,30.297,53.664
780001,117.34,45.764
782001,204.79,50.652
784001,271.77,62.441
786001,329,73.738
788001,23.946,87.3696
790001,72.454,97.0696
792001,121.19,89.17636
794001,178,75.165
796001,236.03,62.774
798001,300.13,49.349
